# pearsid field imag netsig specz specz_source specz_qual
110727 GOODS-N 23.2700 144.00 1.085 Barger_UV Z
96426 GOODS-N 25.0350 56.70 0.634 Barger_ACS Z
101185 GOODS-N 23.6250 120.00 0.772 Barger_ACS Z
118148 GOODS-N 23.2670 150.00 0.936 Barger_ACS Z
119191 GOODS-N 22.9960 210.00 1.060 Barger_ACS Z
124386 GOODS-N 22.8020 233.00 0.841 Wirth_2004 4
117825 GOODS-N 21.7660 544.00 0.634 Barger_UV Z
122560 GOODS-N 22.0620 429.00 1.083 Barger_24m Z
114628 GOODS-N 21.4530 610.00 0.836 MOSDEF 4
120498 GOODS-N 24.0920 107.00 1.147 Barger_24m Z
117715 GOODS-N 24.2620 83.40 1.026 Barger_K Z
97147 GOODS-N 21.4910 320.00 0.709 Barger_ACS Z
113700 GOODS-N 24.2350 74.60 1.085 Barger_K Z
95002 GOODS-N 22.1290 132.00 0.880 Barger_ACS Z
125963 GOODS-N 20.5000 671.00 0.837 Barger_24m Z
117046 GOODS-N 22.9870 185.00 1.152 Barger_K Z
116976 GOODS-N 23.3540 136.00 1.225 Barger_K Z
122305 GOODS-N 23.2970 34.40 0.741 Wirth_2004 4
