# pearsid field ra dec zspec zspec_source zspec_qual netsig d4000 d4000_err
85422 GOODS-N 189.282733 62.268248 0.9358 Barger_K Z 437.05 1.45 0.05
91474 GOODS-N 189.285094 62.277525 1.2217 Barger_K Z 98.78 1.32 0.19
109801 GOODS-N 189.289007 62.309933 0.8511 Barger_K Z 170.70 1.25 0.06
109170 GOODS-N 189.295689 62.309360 0.6310 Barger_K Z 308.04 1.80 0.10
117828 GOODS-N 189.295843 62.324542 1.1450 Barger_UV Z 371.34 1.51 0.07
94085 GOODS-N 189.299922 62.283150 1.1420 Barger_K Z 360.69 1.33 0.05
97904 GOODS-N 189.300023 62.290841 0.6807 Barger_K Z 488.29 1.17 0.04
82986 GOODS-N 189.302899 62.262840 0.9363 Barger_ACS Z 366.57 1.22 0.04
86999 GOODS-N 189.303304 62.271670 0.8510 Barger_K Z 363.46 1.35 0.05
105709 GOODS-N 189.305622 62.304234 1.0822 Barger_UV Z 136.82 1.27 0.10
121439 GOODS-N 189.309340 62.332923 0.8879 Barger_K Z 974.50 1.26 0.04
116636 GOODS-N 189.309528 62.320093 1.2245 Barger_K Z 98.01 1.47 0.16
79587 GOODS-N 189.310322 62.258285 0.8569 Wirth_2004 4 275.63 1.81 0.09
90557 GOODS-N 189.314376 62.275709 0.8518 Barger_UV Z 271.02 1.17 0.05
117385 GOODS-N 189.315519 62.321239 1.2238 Barger_ACS Z 120.03 1.11 0.13
114275 GOODS-N 189.317003 62.316902 1.0273 Barger_ACS Z 169.77 1.12 0.06
98209 GOODS-N 189.319484 62.292583 1.1460 Barger_K Z 286.62 1.22 0.05
107263 GOODS-N 189.320124 62.306652 0.8390 Barger_24m Z 264.20 1.36 0.07
103094 GOODS-N 189.321552 62.301278 0.9717 Barger_UV Z 184.73 1.34 0.07
86522 GOODS-N 189.323283 62.268957 0.7097 Barger_K Z 269.71 1.18 0.05
84715 GOODS-N 189.323427 62.265232 0.8051 Barger_K Z 191.27 1.19 0.07
112486 GOODS-N 189.323643 62.314013 0.8354 Barger_K Z 123.66 1.13 0.08
119764 GOODS-N 189.326353 62.327299 1.2249 Barger_K Z 82.39 1.56 0.25
95449 GOODS-N 189.328883 62.287190 0.9353 MOSDEF 4 105.59 1.15 0.09
98420 GOODS-N 189.330009 62.291136 1.1998 Barger_K Z 109.52 1.25 0.14
120726 GOODS-N 189.331629 62.330061 0.7778 Barger_K Z 169.07 1.24 0.07
81269 GOODS-N 189.332766 62.258972 0.8421 Barger_ACS Z 175.66 1.12 0.07
118642 GOODS-N 189.335281 62.325305 0.8361 Barger_K Z 212.96 1.23 0.06
89845 GOODS-N 189.335839 62.274894 0.8400 Barger_ACS Z 312.40 1.28 0.05
113696 GOODS-N 189.337136 62.317026 0.7465 Barger_K Z 117.12 1.29 0.11
121302 GOODS-N 189.337234 62.332220 0.7781 Barger_ACS Z 311.43 1.25 0.05
82816 GOODS-N 189.338070 62.262313 0.7782 Barger_K Z 154.46 1.20 0.07
80987 GOODS-N 189.342396 62.258581 0.7717 Barger_K Z 75.99 1.28 0.13
81336 GOODS-N 189.343186 62.262050 0.9376 Barger_K Z 199.44 1.81 0.09
93239 GOODS-N 189.343607 62.280933 0.8410 Barger_24m Z 171.31 1.35 0.07
119345 GOODS-N 189.345189 62.326802 0.8392 Barger_UV Z 229.18 1.11 0.05
119723 GOODS-N 189.350411 62.327519 0.8044 Barger_K Z 292.28 1.16 0.04
89112 GOODS-N 189.351244 62.275530 0.8517 Wirth_2004 4 296.18 1.25 0.05
111648 GOODS-N 189.353802 62.312340 1.2237 Barger_K Z 137.36 1.13 0.11
88347 GOODS-N 189.353912 62.273490 0.7089 Barger_UV Z 127.94 1.23 0.09
109592 GOODS-N 189.356213 62.313886 0.8410 Barger_24m Z 658.94 1.34 0.04
127420 GOODS-N 189.357042 62.349206 1.0828 Barger_ACS Z 328.55 1.15 0.05
96475 GOODS-N 189.357471 62.287353 0.9150 Barger_24m Z 216.75 1.27 0.06
95024 GOODS-N 189.359009 62.285243 0.7779 Barger_ACS Z 193.82 1.28 0.07
92108 GOODS-N 189.359789 62.279739 1.1831 Barger_K Z 138.73 1.21 0.09
119879 GOODS-N 189.359991 62.329089 1.0103 Barger_ACS Z 284.78 1.77 0.07
119616 GOODS-N 189.363144 62.327969 1.0095 Barger_K Z 82.46 1.32 0.15
98997 GOODS-N 189.363747 62.293080 1.0108 Barger_K Z 143.34 1.35 0.08
96423 GOODS-N 189.364363 62.287230 0.7780 Barger_K Z 191.74 1.21 0.06
121232 GOODS-N 189.364826 62.332437 0.8548 Barger_K Z 122.17 1.24 0.08
125086 GOODS-N 189.366080 62.342984 1.1482 Barger_K Z 242.15 1.70 0.08
123476 GOODS-N 189.375896 62.342342 0.6338 Wirth_2004 4 611.24 1.23 0.04
117153 GOODS-N 189.376298 62.321320 0.8357 Barger_UV Z 107.77 1.23 0.09
107152 GOODS-N 189.379063 62.305686 1.0120 Barger_K Z 252.11 1.30 0.06
