# pearsid  field  ra  dec  zspec  zspec_source  zspec_qual  netsig  imag
94867 GOODS-N 189.182958 62.284898 -99.0000 -99.0 - 415.43 22.04
39842 GOODS-N 189.183181 62.185293 0.8453 Barger_UV Z 200.38 22.93
42294 GOODS-N 189.183932 62.189725 -99.0000 -99.0 - 509.62 22.15
54327 GOODS-N 189.184139 62.211217 0.8737 Barger_K Z 112.75 23.34
79135 GOODS-N 189.184527 62.255118 -99.0000 -99.0 - 306.42 22.64
98732 GOODS-N 189.184649 62.293561 -99.0000 -99.0 - 553.98 21.34
74776 GOODS-N 189.184802 62.248041 1.4870 Barger_K Z 96.05 23.64
40991 GOODS-N 189.184961 62.192549 1.0128 Wirth_2004 4 496.61 21.48
36842 GOODS-N 189.185144 62.181358 0.9370 Barger_ACS Z 155.64 23.26
31200 GOODS-N 189.185403 62.171655 -99.0000 -99.0 - 177.68 22.90
45117 GOODS-N 189.185414 62.195487 -99.0000 -99.0 - 87.74 23.81
64366 GOODS-N 189.185497 62.229840 1.3141 Wirth_2004 3 130.24 23.56
56663 GOODS-N 189.185792 62.217938 -99.0000 -99.0 - 615.29 21.28
39614 GOODS-N 189.185798 62.185016 -99.0000 -99.0 - 111.33 23.57
30256 GOODS-N 189.185923 62.169739 0.9406 3D_HST A 85.00 23.89
52180 GOODS-N 189.186039 62.207624 1.7340 Yoshikawa_ Z 108.55 23.70
33945 GOODS-N 189.186217 62.175553 -99.0000 -99.0 - 513.15 22.23
92978 GOODS-N 189.186352 62.279926 -99.0000 -99.0 - 101.10 23.87
99871 GOODS-N 189.186526 62.293987 0.4551 Barger_ACS Z 125.04 23.51
75659 GOODS-N 189.186664 62.248714 0.8450 MOSDEF 4 199.17 22.82
87433 GOODS-N 189.187144 62.271319 -99.0000 -99.0 - 293.13 22.17
77596 GOODS-N 189.187838 62.252627 -99.0000 -99.0 - 65.68 23.87
39199 GOODS-N 189.188578 62.185737 0.5124 Wirth_2004 4 119.17 23.35
45321 GOODS-N 189.188819 62.195236 -99.0000 -99.0 - 100.70 23.84
46766 GOODS-N 189.188918 62.198477 -99.0000 -99.0 - 156.58 23.32
60703 GOODS-N 189.189225 62.223869 -99.0000 -99.0 - 368.40 22.54
49453 GOODS-N 189.189234 62.203787 -99.0000 -99.0 - 1342.02 20.98
79903 GOODS-N 189.189328 62.256443 -99.0000 -99.0 - 283.14 22.27
58829 GOODS-N 189.190089 62.219124 0.4740 Barger_K Z 126.60 23.57
57652 GOODS-N 189.191093 62.223841 0.3208 Wirth_2004 4 722.38 20.91
36105 GOODS-N 189.191488 62.183611 -99.0000 -99.0 - 248.73 22.40
48229 GOODS-N 189.191530 62.200388 -99.0000 -99.0 - 93.88 23.67
53563 GOODS-N 189.192230 62.212921 -99.0000 -99.0 - 297.44 22.44
74794 GOODS-N 189.192301 62.247729 0.6795 Wirth_2004 3 123.09 23.41
84688 GOODS-N 189.192363 62.264342 -99.0000 -99.0 - 199.58 23.59
77715 GOODS-N 189.192615 62.257590 0.8510 Wirth_2004 4 310.37 21.99
39072 GOODS-N 189.192859 62.185520 -99.0000 -99.0 - 54.38 23.91
87374 GOODS-N 189.192990 62.270738 0.5031 Barger_K Z 377.64 21.97
65404 GOODS-N 189.193118 62.234639 0.9610 Barger_K Z 647.93 21.48
80411 GOODS-N 189.193273 62.258074 0.8504 Barger_ACS Z 268.81 22.67
97378 GOODS-N 189.193817 62.288842 -99.0000 -99.0 - 160.15 23.11
46281 GOODS-N 189.193840 62.197592 0.5039 Wirth_2004 3 460.85 21.98
36418 GOODS-N 189.194182 62.180293 0.9400 Barger_K Z 148.40 23.11
96650 GOODS-N 189.194623 62.287764 -99.0000 -99.0 - 71.43 23.72
59448 GOODS-N 189.194777 62.220087 0.4849 Barger_ACS Z 108.47 23.55
53956 GOODS-N 189.194878 62.210304 -99.0000 -99.0 - 458.87 22.42
88392 GOODS-N 189.195062 62.276825 -99.0000 -99.0 - 8293.01 17.99
82141 GOODS-N 189.195261 62.261281 -99.0000 -99.0 - 302.61 22.12
30298 GOODS-N 189.195314 62.172276 0.1695 Barger_UV Z 144.36 22.96
72800 GOODS-N 189.195373 62.246516 -99.0000 -99.0 - 709.72 21.13
69090 GOODS-N 189.195449 62.239460 -99.0000 -99.0 - 2138.89 19.92
28405 GOODS-N 189.195884 62.166573 -99.0000 -99.0 - 46.69 23.90
80645 GOODS-N 189.196029 62.258362 0.5710 Wirth_2015 4 140.76 23.02
52456 GOODS-N 189.196034 62.210251 0.3209 Barger_ACS Z 783.87 21.06
37898 GOODS-N 189.196081 62.181954 -99.0000 -99.0 - 102.87 23.96
68612 GOODS-N 189.196558 62.237297 -99.0000 -99.0 - 124.64 23.62
64211 GOODS-N 189.196561 62.228320 1.3148 Barger_ACS Z 125.78 23.78
96996 GOODS-N 189.196996 62.287907 1.3613 Barger_ACS Z 86.80 23.96
51957 GOODS-N 189.197043 62.208544 0.4233 Barger_K Z 238.28 22.75
83499 GOODS-N 189.197312 62.274485 0.8707 Barger_ACS Z 603.06 21.28
62388 GOODS-N 189.197674 62.225022 -99.0000 -99.0 - 82.35 23.76
56190 GOODS-N 189.198106 62.214635 -99.0000 -99.0 - 102.98 23.94
84659 GOODS-N 189.198640 62.263913 -99.0000 -99.0 - 247.93 23.39
41630 GOODS-N 189.198719 62.188955 -99.0000 -99.0 - 111.73 23.17
97714 GOODS-N 189.198866 62.289126 0.5038 Barger_K Z 121.38 23.62
76849 GOODS-N 189.199113 62.253579 0.5340 Wirth_2015 4 476.04 21.60
52896 GOODS-N 189.199133 62.209159 0.9607 Barger_ACS Z 133.80 23.37
35156 GOODS-N 189.199465 62.179304 1.2233 Wirth_2004 3 189.96 22.62
90364 GOODS-N 189.200138 62.275581 -99.0000 -99.0 - 60.82 23.86
56469 GOODS-N 189.200323 62.219179 0.4745 Barger_ACS Z 1162.59 20.53
38445 GOODS-N 189.200563 62.183952 0.6494 Wirth_2004 4 191.30 22.50
79157 GOODS-N 189.200671 62.256963 -99.0000 -99.0 - 188.85 23.12
85345 GOODS-N 189.201022 62.265679 2.4400 Barger_K Z 148.48 23.58
49261 GOODS-N 189.201093 62.203861 0.9609 Barger_K Z 170.27 22.55
68368 GOODS-N 189.201253 62.240707 0.1390 Reddy_2006 4 3020.25 19.00
69827 GOODS-N 189.201276 62.237959 2.0036 Barger_K Z 166.59 23.47
54828 GOODS-N 189.201330 62.213845 -99.0000 -99.0 - 1175.04 21.00
