# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
47324 GOODS-S 53.175354 -27.852604 0.9500 0.9500 0.0169 3DHST 1.2053 0.1321 1.1548 0.0679 206.4842 206.4842
47396 GOODS-S 53.146899 -27.851333 0.7351 0.7236 0.0123 3DHST 1.0243 0.1441 1.5456 0.1082 83.4945 79.4719
47469 GOODS-S 53.173538 -27.852422 0.9413 0.9542 0.0194 3DHST 1.0455 0.1733 1.1743 0.1041 109.8256 109.4324
47720 GOODS-S 53.211775 -27.852116 0.8410 0.7045 0.0316 3DHST 1.3823 0.3299 1.4938 0.2125 118.0625 85.8519
47740 GOODS-S 53.161886 -27.845847 1.0943 1.0979 0.0129 3DHST 1.1902 0.0977 1.5200 0.0594 154.8788 152.1518
48890 GOODS-S 53.206965 -27.848048 0.8867 0.8617 0.0077 3DHST 1.1827 0.0984 1.2848 0.0542 227.2931 192.1840
49022 GOODS-S 53.135730 -27.848313 0.6660 0.5815 0.0132 3DHST 1.2181 0.1905 1.5062 0.1290 145.5455 84.9795
50107 GOODS-S 53.210764 -27.847465 0.7448 0.5957 0.0374 3DHST 1.2301 0.2891 1.5019 0.1830 199.5215 116.4772
50261 GOODS-S 53.199420 -27.846937 0.9164 0.8192 0.0507 3DHST 1.4038 0.3629 1.5768 0.1877 109.5340 72.3832
51356 GOODS-S 53.156680 -27.843269 0.6313 0.5485 0.0096 3DHST 1.4842 0.1513 3.5365 0.3156 398.1144 160.6778
51522 GOODS-S 53.184301 -27.844309 1.1178 1.0493 0.0464 3DHST 0.9809 0.3527 1.1751 0.2138 105.1686 94.6691
52204 GOODS-S 53.187297 -27.843166 0.6165 0.4784 0.0433 3DHST nan nan nan nan 167.7050 104.1187
52259 GOODS-S 53.179682 -27.843878 0.7298 0.7069 0.0143 3DHST 1.3652 0.1178 1.1821 0.0492 453.3680 442.6255
52481 GOODS-S 53.169227 -27.842715 0.8391 0.8615 0.0167 3DHST 1.2469 0.1493 1.6755 0.1087 113.8670 90.9654
52774 GOODS-S 53.159822 -27.841340 0.6128 0.5024 0.0122 3DHST nan nan nan nan 360.4805 143.6657
52945 GOODS-S 53.203373 -27.841532 0.6335 0.5605 0.0178 3DHST 0.9218 0.1720 1.9737 0.2857 109.6105 78.8518
53650 GOODS-S 53.152482 -27.841956 0.7401 0.6839 0.0246 3DHST 1.4751 0.3662 1.3952 0.1697 83.5587 69.0448
54056 GOODS-S 53.156934 -27.841899 0.6629 0.4416 0.1666 3DHST nan nan nan nan 141.4470 95.3066
54553 GOODS-S 53.177902 -27.839194 0.7807 0.6588 0.0121 3DHST 1.4489 0.1394 1.2172 0.0591 378.1197 84.5269
54631 GOODS-S 53.175469 -27.839524 0.8278 0.2989 0.2113 3DHST nan nan nan nan 197.3915 183.8072
54921 GOODS-S 53.214937 -27.838243 0.8201 0.7961 0.0077 3DHST 1.0811 0.0627 1.3204 0.0395 789.6270 761.8074
54922 GOODS-S 53.158032 -27.838407 1.2329 1.1333 0.0253 3DHST 0.9482 0.2526 1.1902 0.1683 121.3223 88.3587
54977 GOODS-S 53.189606 -27.838391 1.0591 1.0320 0.0110 3DHST 0.9770 0.1271 1.1393 0.0829 137.4874 122.1244
55145 GOODS-S 53.195826 -27.839363 1.0811 1.0536 0.0242 3DHST 1.2769 0.2720 1.1828 0.1359 117.5228 113.2103
55434 GOODS-S 53.204335 -27.837635 1.1179 1.1230 0.0142 3DHST 1.1297 0.1552 1.4311 0.1002 87.4294 86.0250
56681 GOODS-S 53.213399 -27.837210 0.6838 0.5984 0.0679 3DHST 1.2622 0.4051 1.4085 0.2320 106.7248 77.1837
56922 GOODS-S 53.218124 -27.833686 0.8485 0.7548 0.0393 3DHST 1.2703 0.0988 1.5797 0.0639 403.2938 171.1145
