# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1.5 catalog.
# pears_id threed_south_idv415 pears_ra pears_dec threed_ra threed_dec
126754 44831 53.049368 -27.701232 53.049389 -27.701235
129968 46238 53.049383 -27.694312 53.049381 -27.694309
119750 41779 53.049422 -27.715250 53.049412 -27.715267
108821 37255 53.049422 -27.737043 53.049423 -27.737047
119130 41400 53.049435 -27.716747 53.049427 -27.716743
110400 37701 53.049503 -27.735026 53.049500 -27.735031
118434 41151 53.049693 -27.718128 53.049702 -27.718140
122949 43276 53.049764 -27.708714 53.049755 -27.708706
124345 43889 53.049782 -27.704859 53.049778 -27.704857
121904 42446 53.049956 -27.711933 53.049976 -27.711941
127950 45267 53.049996 -27.698682 53.050007 -27.698702
112145 38373 53.050151 -27.731279 53.050163 -27.731268
124269 43409 53.050267 -27.707079 53.050259 -27.707087
120448 41856 53.050282 -27.714652 53.050270 -27.714647
125314 44465 53.050346 -27.703409 53.050339 -27.703407
109466 37268 53.050462 -27.737299 53.050468 -27.737293
110763 37960 53.050642 -27.734082 53.050644 -27.734081
110187 37565 53.050663 -27.735793 53.050678 -27.735790
113787 39212 53.050667 -27.727401 53.050674 -27.727394
111643 38466 53.050800 -27.731430 53.050800 -27.731424
123066 43493 53.050812 -27.707512 53.050816 -27.707520
109185 37266 53.050845 -27.737555 53.050846 -27.737551
108961 36991 53.050917 -27.738920 53.050919 -27.738916
121057 42127 53.050922 -27.713738 53.050842 -27.713711
114057 39273 53.050963 -27.726909 53.050953 -27.726910
129661 46154 53.051029 -27.694995 53.051018 -27.695005
118772 41358 53.051187 -27.717213 53.051186 -27.717218
112927 38783 53.051196 -27.729283 53.051193 -27.729286
131200 46872 53.051267 -27.691604 53.051247 -27.691601
115449 39933 53.051369 -27.724155 53.051376 -27.724157
109307 37151 53.051433 -27.737538 53.051434 -27.737537
125344 43928 53.051572 -27.704752 53.051575 -27.704750
121958 42405 53.051588 -27.712039 53.051582 -27.712040
109853 38209 53.051607 -27.731556 53.051598 -27.731562
123234 43075 53.051665 -27.708851 53.051674 -27.708860
131442 46971 53.051668 -27.690825 53.051655 -27.690823
108750 36921 53.051734 -27.739112 53.051746 -27.739111
113474 39071 53.051753 -27.728001 53.051746 -27.728006
124683 43642 53.051798 -27.705977 53.051800 -27.705976
113783 39077 53.051863 -27.727697 53.051868 -27.727695
110788 37988 53.051879 -27.734026 53.051880 -27.734035
123766 43764 53.051970 -27.706717 53.051975 -27.706724
124640 43709 53.052016 -27.705950 53.052013 -27.705948
115999 40192 53.052039 -27.722647 53.052048 -27.722635
131096 46917 53.052110 -27.691348 53.052124 -27.691357
128268 45522 53.052181 -27.697902 53.052185 -27.697905
109154 37000 53.052239 -27.738550 53.052223 -27.738543
126062 44834 53.052243 -27.701448 53.052246 -27.701448
