# ID  Field  RA  DEC  zspec  zphot  low_zphot_err  high_zphot_err  zg  low_zgrism_err  high_zgrism_err  zspz  low_zspz_err  high_zspz_err  NetSig  D4000  D4000_err  iABmag
69419     GOODS-S    53.1323758    -27.814240    0.750    0.79    0.00    0.00    0.77    0.00    0.01    0.77    0.00    0.00    251.62    1.70    0.09    23.03
103918    GOODS-S    53.1335047    -27.747705    0.895    0.89    0.00    0.00    0.90    0.02    0.00    0.89    0.00    0.00    389.83    1.61    0.06    22.25
27994     GOODS-S    53.1335325    -27.890769    0.988    0.91    0.05    0.03    0.43    0.12    0.52    0.95    0.10    0.03    77.04     1.25    0.14    24.14
47038     GOODS-S    53.1338939    -27.851542    0.683    0.72    0.04    0.01    0.31    0.01    0.19    0.72    0.06    0.01    153.20    1.30    0.10    22.30
112840    GOODS-S    53.1347278    -27.729402    1.026    0.98    0.01    0.02    0.86    0.00    0.01    0.98    0.02    0.01    75.77     1.31    0.17    24.36
91095     GOODS-S    53.1363113    -27.763179    0.955    1.01    0.06    0.00    1.02    0.06    0.06    1.01    0.04    0.00    546.42    1.50    0.05    21.43
66729     GOODS-S    53.1363320    -27.816537    0.671    0.65    0.00    0.00    0.61    0.00    0.01    0.65    0.00    0.00    506.23    1.29    0.04    21.95
42703     GOODS-S    53.1363881    -27.850696    0.735    0.72    0.00    0.00    0.75    0.01    0.00    0.75    0.03    0.00    580.47    1.75    0.06    21.12
46603     GOODS-S    53.1371453    -27.852164    0.734    0.72    0.02    0.02    0.75    0.01    0.01    0.75    0.01    0.01    152.60    1.62    0.13    23.17
100572    GOODS-S    53.1371579    -27.754179    0.765    0.80    0.05    0.01    0.37    0.04    0.06    0.75    0.04    0.03    181.72    1.24    0.07    22.79
105547    GOODS-S    53.1375911    -27.743506    0.605    0.66    0.00    0.00    0.61    0.01    0.00    0.62    0.00    0.00    910.71    1.67    0.05    20.74
77821     GOODS-S    53.1376154    -27.791914    0.998    0.91    0.00    0.01    1.04    0.01    0.00    0.96    0.00    0.03    224.23    1.39    0.08    22.61
43816     GOODS-S    53.1378275    -27.856631    0.735    0.73    0.09    0.03    0.72    0.25    0.21    0.72    0.08    0.01    133.66    1.44    0.12    21.79
12378     GOODS-S    53.1379561    -27.923834    0.630    0.65    0.00    0.00    0.66    0.00    0.00    0.66    0.01    0.00    537.31    1.68    0.06    21.52
108922    GOODS-S    53.1382054    -27.737523    0.665    0.70    0.00    0.00    0.65    0.04    0.28    0.69    0.04    0.01    131.91    1.58    0.14    23.55
76125     GOODS-S    53.1385500    -27.799460    1.098    1.02    0.06    0.06    1.14    0.10    0.32    1.09    0.10    0.07    72.02     1.31    0.19    24.75
84478     GOODS-S    53.1392830    -27.780668    0.733    0.68    0.00    0.00    0.49    0.19    0.06    0.70    0.01    0.03    204.33    1.23    0.06    23.11
14386     GOODS-S    53.1397446    -27.920454    0.658    0.64    0.02    0.01    0.63    0.23    0.05    0.66    0.03    0.01    177.05    1.33    0.09    22.99
31899     GOODS-S    53.1398202    -27.880603    1.077    1.12    0.04    0.00    1.17    0.11    0.01    1.12    0.05    0.01    354.71    1.43    0.06    22.06
109151    GOODS-S    53.1409173    -27.736119    0.667    0.64    0.00    0.00    0.65    0.00    0.15    0.64    0.00    0.00    520.90    1.59    0.06    21.53
110487    GOODS-S    53.1411224    -27.732656    0.979    0.98    0.02    0.01    0.98    0.03    0.01    0.98    0.02    0.01    138.30    1.74    0.11    23.45
19226     GOODS-S    53.1412561    -27.907070    0.663    0.65    0.01    0.01    1.32    0.03    0.01    0.73    0.05    0.01    324.85    1.44    0.08    22.23
109167    GOODS-S    53.1416778    -27.736678    0.895    0.99    0.06    0.03    0.85    0.15    0.64    0.95    0.14    0.09    62.03     1.41    0.19    24.10
22402     GOODS-S    53.1418669    -27.901909    0.823    0.87    0.02    0.00    0.75    0.26    0.02    0.83    0.02    0.01    259.59    1.24    0.05    22.33
62223     GOODS-S    53.1418806    -27.827172    0.840    0.84    0.01    0.01    0.85    0.05    0.10    0.84    0.03    0.01    151.41    1.68    0.13    23.53
25184     GOODS-S    53.1426003    -27.895068    0.685    0.90    0.07    0.00    0.63    0.17    0.22    0.89    0.08    0.02    97.96     1.51    0.19    23.48
109794    GOODS-S    53.1431093    -27.730585    0.667    0.65    0.00    0.00    1.49    1.11    0.00    0.64    0.00    0.00    519.81    1.39    0.05    21.24
110397    GOODS-S    53.1440704    -27.734604    0.937    0.92    0.01    0.03    1.00    0.19    0.01    0.92    0.02    0.01    88.05     1.34    0.11    23.80
26891     GOODS-S    53.1441777    -27.890151    1.099    1.28    0.09    0.01    0.36    0.01    0.71    1.27    0.16    0.01    312.58    1.14    0.05    22.40
54823     GOODS-S    53.1449423    -27.840218    0.978    0.95    0.01    0.00    0.90    0.01    0.03    0.96    0.01    0.00    196.85    1.12    0.07    22.80
23172     GOODS-S    53.1452086    -27.897243    0.683    0.67    0.00    0.00    0.67    0.01    0.02    0.66    0.00    0.00    491.99    1.65    0.06    21.80
86604     GOODS-S    53.1452229    -27.777903    1.099    1.13    0.09    0.04    1.08    0.07    0.02    1.13    0.10    0.03    189.38    1.34    0.07    23.27
105980    GOODS-S    53.1453463    -27.744600    0.677    0.60    0.01    0.00    0.70    0.18    0.00    0.61    0.01    0.02    146.99    1.46    0.11    23.13
21592     GOODS-S    53.1459236    -27.901462    0.670    0.66    0.00    0.00    0.83    0.03    0.04    0.66    0.01    0.01    443.13    1.56    0.07    21.69
93811     GOODS-S    53.1460878    -27.766564    0.954    0.85    0.02    0.04    0.32    0.00    0.04    0.92    0.01    0.03    106.31    1.22    0.09    23.73
60481     GOODS-S    53.1462700    -27.831469    1.096    1.00    0.04    0.04    1.32    1.02    0.17    0.95    0.01    0.15    41.12     1.17    0.29    24.52
34457     GOODS-S    53.1465972    -27.876704    0.782    0.69    0.01    0.00    0.50    0.01    0.27    0.77    0.00    0.00    193.22    1.32    0.06    22.70
27974     GOODS-S    53.1466117    -27.889677    0.670    0.76    0.01    0.00    0.66    0.00    0.01    0.75    0.06    0.00    254.65    1.71    0.11    22.75
48311     GOODS-S    53.1466198    -27.850945    0.981    0.96    0.15    0.05    0.95    0.05    0.07    1.00    0.03    0.02    41.46     1.25    0.22    24.84
65145     GOODS-S    53.1473583    -27.822427    0.670    1.47    0.01    0.02    0.33    0.03    0.28    1.49    0.02    0.00    155.37    1.11    0.07    23.15
108510    GOODS-S    53.1477213    -27.739197    0.880    0.88    0.00    0.00    0.90    0.01    0.00    0.89    0.01    0.00    223.49    1.62    0.07    22.91
23215     GOODS-S    53.1477455    -27.900513    1.089    1.03    0.05    0.02    1.12    0.14    0.01    0.98    0.01    0.11    75.85     1.46    0.17    24.40
115781    GOODS-S    53.1484734    -27.719482    1.222    1.15    0.00    0.00    1.21    0.00    0.01    1.15    0.01    0.01    156.30    1.67    0.11    23.01
