# pearsid field ra dec specz specz_source specz_qual imag
103094 GOODS-N 189.321552 62.301278 0.9717 Barger_UV Z 22.61
86522 GOODS-N 189.323283 62.268957 0.7097 Barger_K Z 22.86
84715 GOODS-N 189.323427 62.265232 0.8051 Barger_K Z 23.91
112486 GOODS-N 189.323643 62.314013 0.8354 Barger_K Z 23.66
119764 GOODS-N 189.326353 62.327299 1.2249 Barger_K Z 24.20
124609 GOODS-N 189.327318 62.341029 1.0198 Barger_K Z 22.26
95449 GOODS-N 189.328883 62.287190 0.9353 MOSDEF 4 23.24
98420 GOODS-N 189.330009 62.291136 1.1998 Barger_K Z 23.85
92316 GOODS-N 189.330950 62.280186 0.9418 Barger_K Z 23.99
120726 GOODS-N 189.331629 62.330061 0.7778 Barger_K Z 23.15
124459 GOODS-N 189.331775 62.340391 1.0202 Barger_ACS Z 23.59
81269 GOODS-N 189.332766 62.258972 0.8421 Barger_ACS Z 23.35
93569 GOODS-N 189.334410 62.281451 0.8576 Barger_UV Z 23.62
118642 GOODS-N 189.335281 62.325305 0.8361 Barger_K Z 22.48
89845 GOODS-N 189.335839 62.274894 0.8400 Barger_ACS Z 21.76
113696 GOODS-N 189.337136 62.317026 0.7465 Barger_K Z 23.63
121302 GOODS-N 189.337234 62.332220 0.7781 Barger_ACS Z 22.16
92450 GOODS-N 189.337579 62.278406 1.0011 Barger_ACS Z 24.19
82816 GOODS-N 189.338070 62.262313 0.7782 Barger_K Z 22.69
91724 GOODS-N 189.338397 62.278201 1.0016 Barger_K Z 24.83
121909 GOODS-N 189.341082 62.333808 0.7948 Barger_K Z 23.61
80987 GOODS-N 189.342396 62.258581 0.7717 Barger_K Z 23.71
85237 GOODS-N 189.342629 62.265574 1.1411 Wirth_2004 4 23.54
125033 GOODS-N 189.342860 62.344177 1.1213 Barger_ACS Z 23.82
81336 GOODS-N 189.343186 62.262050 0.9376 Barger_K Z 22.38
93239 GOODS-N 189.343607 62.280933 0.8410 Barger_24m Z 22.75
126432 GOODS-N 189.344228 62.346294 0.8703 Barger_ACS Z 23.20
125272 GOODS-N 189.344383 62.343831 0.8360 Barger_K Z 22.54
119345 GOODS-N 189.345189 62.326802 0.8392 Barger_UV Z 22.64
119723 GOODS-N 189.350411 62.327519 0.8044 Barger_K Z 22.82
127919 GOODS-N 189.350457 62.350873 1.2254 Barger_ACS Z 23.81
89112 GOODS-N 189.351244 62.275530 0.8517 Wirth_2004 4 22.13
98342 GOODS-N 189.351636 62.290926 1.2229 Barger_ACS Z 23.69
111648 GOODS-N 189.353802 62.312340 1.2237 Barger_K Z 23.61
88347 GOODS-N 189.353912 62.273490 0.7089 Barger_UV Z 23.50
122757 GOODS-N 189.354669 62.335654 0.7848 Barger_ACS Z 23.34
