# col1     col2         col3          col4     delta_ra                 delta_dec                col5     col6      col7      id        field     ra            dec            x          y          z_spec   z_peak   faper_F140W   eaper_F140W   faper_F160W   eaper_F160W   f_F606W    e_F606W    f_F814W   e_F814W    f_F125W   e_F125W    f_F140W   e_F140W    f_F160W   e_F160W    tot_cor   kron_radius   a_image   b_image   flux_radius   fwhm_image   flags   f140w_flag   star_flag   use_phot   near_star   nexp_f125w   nexp_f140w   nexp_f160w   lmass   Av    Separation             
  128537   53.0324638   -27.6970823   24.636   4.539999999053634E-6     -9.32000000020139E-6     0.03     121.0     121.0     45602.0   GOODS-S   53.03245926   -27.69707298   15097.2    17079.72   -1.0     0.7338   -99.0         -99.0         2.0681        0.031491      0.52888    0.023703   1.4753    0.032532   2.7561    0.092592   -99.0     -99.0      3.2536    0.090506   1.0904    3.5           4.653     2.612     4.25          0.0          0       0            0           0          1           4            0            4            8.93    1.2   0.036539760484562984   
  123958   53.0326342   -27.7075208   25.846   -1.579000000617725E-5    2.3529999999993834E-5    0.065    23.5      20.0      43333.0   GOODS-S   53.03264999   -27.70754433   15086.66   16451.48   -1.0     0.064    0.84843       0.089604      0.96737       0.020579      0.39398    0.019934   0.33779   0.026463   0.66451   0.056369   1.1287    0.11835    1.2777    0.046591   1.1249    3.5           3.225     2.499     2.99          0.0          0       0            0           1          0           10           4            10           5.23    1.2   0.09852987128809491    
  118892   53.0328118   -27.7154168   23.62    9.219999995480066E-6     -4.659999998324338E-6    0.016    70.1      66.4      41810.0   GOODS-S   53.03280258   -27.71541214   15078.15   15979.37   -1.0     0.9903   2.9721        0.088334      2.7097        0.025227      2.4584     0.028331   3.8484    0.037278   5.4033    0.08912    5.5571    0.16398    5.0302    0.10757    1.0598    3.55          6.389     3.521     5.17          0.0          2       0            0           1          0           8            4            8            9.09    0.2   0.0338355409366671     
  115733   53.032938    -27.7233522   24.314   5.7200000043167165E-6    -7.400000001211993E-6    0.025    43.8      43.8      40105.0   GOODS-S   53.03293228   -27.7233448    15070.98   15503.44   -1.0     0.1494   1.228         0.091183      1.2638        0.022857      1.5588     0.02158    1.9703    0.03134    1.9453    0.078111   2.0099    0.14817    2.0536    0.072001   1.0808    3.5           4.726     2.997     4.31          0.0          0       0            0           1          0           8            4            8            6.88    0.5   0.03227931353359151    
  118984   53.0330906   -27.7173299   25.512   1.71699999995667E-5      2.2010000002126162E-5    0.063    17.4      14.5      41275.0   GOODS-S   53.03307343   -27.71735191   15063.75   15863.04   -1.0     3.6786   0.44317       0.091418      0.63164       0.022629      0.31335    0.02256    0.58762   0.030045   0.74897   0.068108   0.66716   0.13664    0.94409   0.06473    1.0909    3.96          3.692     2.551     3.66          0.0          2       0            2           1          0           8            4            8            9.46    0.9   0.09629403018798262    
  125687   53.0331216   -27.7033741   23.66    2.3999999996249244E-6    -4.960000001830167E-6    0.015    139.0     137.0     44366.0   GOODS-S   53.0331192    -27.70336914   15061.81   16701.98   -1.0     0.7304   7.3547        0.089994      8.5638        0.020656      1.0035     0.020734   3.8761    0.030949   9.1341    0.057619   10.225    0.12422    11.82     0.067361   1.078     3.5           4.126     3.633     3.45          4.42         0       0            0           1          0           10           4            10           9.71    0.2   0.01942556496213244    
  121081   53.0331379   -27.7134235   25.371   1.1069999999335778E-5    -2.3609999999507636E-5   0.055    19.1      18.5      42186.0   GOODS-S   53.03312683   -27.71339989   15061.11   16100.12   -1.0     2.472    1.3962        0.091364      1.6935        0.020992      0.66293    0.033636   1.0406    0.044926   2.4876    0.096801   3.131     0.20343    3.7706    0.092882   1.0567    3.78          5.575     3.782     6.07          0.0          0       0            0           1          0           10           4            10           10.19   1.1   0.09202730296081099    
  126270   53.0332352   -27.7027195   25.047   -2.260000002252127E-6    -7.699999997612395E-7    0.031    75.0      68.9      44381.0   GOODS-S   53.03323746   -27.70271873   15055.63   16740.98   -1.0     2.7185   0.92228       0.092051      0.88133       0.020873      0.88309    0.019092   0.82771   0.028587   1.021     0.052763   1.1849    0.11742    1.1242    0.044828   1.1314    3.67          2.773     2.418     2.7           0.0          0       0            0           1          0           10           4            10           8.88    0.0   0.007718336038033353   
  117674   53.033256    -27.7109694   21.731   7.100000004811591E-6     2.429999998554422E-6     0.0070   270.0     266.0     41913.0   GOODS-S   53.0332489    -27.71097183   15054.63   16245.81   0.545    0.558    14.097        0.087352      17.747        0.020548      5.9747     0.045786   16.262    0.061634   34.205    0.12935    43.227    0.26594    54.03     0.30195    1.0       3.5           20.959    7.939     10.9          12.13        3       0            0           1          0           10           4            10           9.77    2.2   0.024260489361351313   
  122669   53.0334988   -27.7058382   22.001   -1.8700000055105193E-6   -9.500000004436515E-7    0.0070   357.0     351.0     43629.0   GOODS-S   53.03350067   -27.70583725   15041.6    16553.84   -1.0     0.7422   18.744        0.091541      22.034        0.020741      3.722      0.034503   14.499    0.041764   37.643    0.097426   43.523    0.21103    50.796    0.15945    1.0182    3.5           8.302     7.27      6.89          5.52         2       0            0           1          0           10           4            10           10.36   0.8   0.006871666476206276   
  125952   53.0335122   -27.7012044   23.361   7.709999998439798E-6     1.1339999996806682E-5    0.019    168.0     164.0     44882.0   GOODS-S   53.03350449   -27.70121574   15041.62   16831.18   -1.0     1.0704   2.0297        0.092749      2.1195        0.02104       1.9391     0.064367   3.886     0.094902   8.1327    0.17688    8.7428    0.39666    9.0647    0.17691    1.0136    3.5           9.984     6.977     10.5          0.0          0       0            0           1          0           10           4            10           9.7     0.4   0.04764992647744359    
  117954   53.0336137   -27.7192974   25.207   -1.4100000029770854E-6   -3.0509999998429294E-5   0.043    25.4      23.6      40931.0   GOODS-S   53.03361511   -27.71926689   15034.94   15748.18   -1.0     1.2367   0.59329       0.08954       0.76471       0.021478      1.0463     0.030307   1.1047    0.040284   1.6451    0.088803   1.1945    0.17899    1.5286    0.081618   1.068     3.67          5.699     3.063     5.49          0.0          0       0            0           1          0           8            4            8            8.46    0.0   0.10992787685740926    
  122700   53.0336644   -27.7104852   25.708   3.5099999990961805E-6    -1.6500000015184924E-6   0.05     136.0     78.0      42743.0   GOODS-S   53.03366089   -27.71048355   15032.9    16275.14   -1.0     4.6174   0.7182        0.090313      0.62492       0.020328      0.15764    0.023504   0.72089   0.031344   0.93383   0.06501    1.1279    0.14082    0.97438   0.055267   1.0978    3.84          3.362     2.731     4.24          0.0          3       0            2           1          0           10           4            10           8.68    0.2   0.012665984895737541   
