# These galaxies are in the GOODS-S field.
# pearsid pearsra pearsdec matchid matchra matchdec source zphot zphot_l68 zphot_u68
127997 53.045332 -27.698436 26264 53.045322 -27.698448 CANDELS 0.5000 0.4300 0.5700
123533 53.045448 -27.707823 22861 53.045437 -27.707809 CANDELS 1.2080 1.1500 1.2600
111741 53.045461 -27.728629 21627 53.045456 -27.728626 CANDELS 1.0120 0.9700 1.0500
111366 53.045475 -27.732853 20868 53.045487 -27.732862 CANDELS 0.4710 0.3900 0.5500
108947 53.045478 -27.737480 20447 53.045479 -27.737492 CANDELS 2.6000 0.9700 4.6700
117358 53.045590 -27.719439 22541 53.045563 -27.719444 CANDELS 0.9640 0.9100 1.0200
114657 53.045639 -27.724930 21888 53.045635 -27.724928 CANDELS 1.1730 1.1200 1.2300
114672 53.045683 -27.725818 21655 53.045685 -27.725822 CANDELS 0.2060 0.1200 2.5400
111146 53.045857 -27.733675 20745 53.045906 -27.733627 CANDELS 3.4120 3.3000 3.5300
115024 53.046166 -27.725094 21761 53.046169 -27.725090 CANDELS 0.0550 0.0300 0.0800
109414 53.046320 -27.737540 20296 53.046326 -27.737545 CANDELS 0.5310 0.4400 0.6500
113091 53.046703 -27.728694 21331 53.046715 -27.728699 CANDELS 1.6490 1.5700 1.7300
126827 53.046761 -27.701447 26273 53.046768 -27.701452 CANDELS 2.2620 2.2000 2.3400
126014 53.046810 -27.703298 26421 53.046818 -27.703312 CANDELS 3.5420 3.4300 3.6600
123952 53.046830 -27.707248 23063 53.046829 -27.707254 CANDELS 0.0970 0.0600 0.1300
113539 53.046856 -27.727868 21405 53.046837 -27.727903 CANDELS 2.0320 1.9300 2.1500
109499 53.046880 -27.737583 20312 53.046886 -27.737589 CANDELS 1.5390 1.4500 1.6100
130264 53.046931 -27.690835 25246 53.046932 -27.690842 CANDELS 1.0970 1.0600 1.1300
121138 53.046940 -27.711190 23150 53.046940 -27.711187 CANDELS 0.4560 0.4100 0.5000
117632 53.047138 -27.709112 22992 53.047134 -27.709055 CANDELS 0.5990 0.5500 0.6400
125340 53.047213 -27.704188 26714 53.047218 -27.704180 CANDELS 2.7460 2.6600 2.8300
130087 53.047267 -27.693332 25750 53.047268 -27.693323 CANDELS 0.6800 0.6300 0.7300
114604 53.047315 -27.725593 21729 53.047317 -27.725592 CANDELS 0.3400 0.2700 0.4100
108319 53.047325 -27.740168 20036 53.047340 -27.740162 CANDELS 1.9220 1.8400 2.0100
125788 53.047333 -27.702469 26393 53.047337 -27.702469 CANDELS 0.3330 0.2400 0.4200
128801 53.047350 -27.696743 25115 53.047356 -27.696747 CANDELS 0.3960 0.3500 0.4500
127293 53.047408 -27.698413 26202 53.047401 -27.698389 CANDELS 0.4450 0.4100 0.4800
126415 53.047412 -27.701823 26565 53.047417 -27.701830 CANDELS 0.7890 0.7500 0.8300
122177 53.047479 -27.711471 23288 53.047474 -27.711470 CANDELS 0.3120 0.2500 0.3800
130759 53.047494 -27.692016 25394 53.047497 -27.692024 CANDELS 1.6300 1.5800 1.6900
130788 53.047507 -27.692666 25293 53.047508 -27.692665 CANDELS 1.6180 1.5500 1.6900
121218 53.047521 -27.713009 23547 53.047520 -27.712996 CANDELS 1.8420 1.7100 1.9800
112979 53.047536 -27.729167 21245 53.047543 -27.729174 CANDELS 0.4510 0.3900 0.5100
114207 53.047812 -27.726682 21551 53.047817 -27.726688 CANDELS 1.6620 1.5300 1.8500
128379 53.047820 -27.697181 25818 53.047832 -27.697178 CANDELS 0.4530 0.3700 0.5300
108372 53.047836 -27.739397 20232 53.047848 -27.739391 CANDELS 1.3030 1.2200 1.3900
108553 53.047853 -27.739823 20090 53.047859 -27.739824 CANDELS 0.1800 0.1300 0.2400
129668 53.047911 -27.695129 25597 53.047909 -27.695139 CANDELS 2.2810 2.2100 2.3600
117364 53.048015 -27.719743 22490 53.048019 -27.719742 CANDELS 1.2870 1.2300 1.3500
125751 53.048066 -27.703771 23046 53.048050 -27.703777 CANDELS 2.8000 2.7400 2.8600
128699 53.048088 -27.696323 25833 53.048092 -27.696316 CANDELS 1.4510 1.3900 1.5100
122490 53.048101 -27.708695 23168 53.048092 -27.708714 CANDELS 0.0620 0.0200 0.1500
116765 53.048108 -27.720195 22456 53.048115 -27.720190 CANDELS 1.0150 0.9500 1.0700
131732 53.048185 -27.690458 47145 53.048189 -27.690418  3DHST  2.5707 -99.0000 -99.0000
122399 53.048392 -27.709527 23180 53.048405 -27.709524 CANDELS 1.6250 1.5700 1.6800
110829 53.048419 -27.734444 20634 53.048431 -27.734444 CANDELS 1.6560 1.3000 1.7400
116775 53.048543 -27.721856 22129 53.048542 -27.721861 CANDELS 1.5630 1.4900 1.6300
112960 53.048553 -27.729464 21209 53.048553 -27.729460 CANDELS 0.9730 0.8800 1.0700
114227 53.048595 -27.726669 21532 53.048584 -27.726683 CANDELS 0.8270 0.2800 1.3100
118516 53.048740 -27.718459 22508 53.048752 -27.718445 CANDELS 2.1850 2.0700 2.2900
128775 53.048810 -27.697114 26071 53.048820 -27.697111 CANDELS 4.8720 4.7600 4.9800
119887 53.048919 -27.715530 23930 53.048927 -27.715544 CANDELS 1.4980 1.4200 1.5800
108268 53.048964 -27.740004 20042 53.048966 -27.740015 CANDELS 0.3160 0.2400 0.3900
