# Catalog for all galaxies that matched between 3DHST and PEARS in GOODS-N. 
# pearsid field redshift zphot_source ra dec dn4000 dn4000_err d4000 d4000_err
63227 GOODS-N 0.9118 3DHST 189.153547 62.229405 1.0987 0.0716 1.1304 0.0385
63275 GOODS-N 1.0047 3DHST 189.144022 62.227637 1.2583 1.0900 1.7103 0.8115
63427 GOODS-N 0.8175 3DHST 189.233778 62.226606 2.7116 2.9315 2.9603 1.9874
64098 GOODS-N 0.7198 3DHST 189.231193 62.227533 1.1434 0.8492 1.0979 0.3977
64178 GOODS-N 1.0404 3DHST 189.166293 62.227284 0.5128 0.7198 0.4313 0.3262
64321 GOODS-N 0.9848 3DHST 189.157326 62.227824 4.7158 13.2270 1.5056 0.7714
64394 GOODS-N 0.9894 3DHST 189.178468 62.228348 1.0828 0.2774 1.1373 0.1391
64523 GOODS-N 1.2106 3DHST 189.179820 62.229866 1.0614 0.1665 1.1470 0.0993
64578 GOODS-N 0.8935 3DHST 189.155291 62.228428 0.7977 0.2772 1.1154 0.2012
64683 GOODS-N 0.7063 3DHST 189.156433 62.229479 1.1705 0.3790 1.5463 0.2598
65022 GOODS-N 1.1334 3DHST 189.231330 62.231529 1.1016 0.1475 1.2816 0.0786
65404 GOODS-N 1.0070 3DHST 189.193118 62.234639 1.2453 0.0774 1.4080 0.0433
65574 GOODS-N 0.8181 3DHST 189.232318 62.230236 1.1249 0.5371 1.2590 0.3346
65687 GOODS-N 0.8928 3DHST 189.228206 62.230788 1.0921 0.2314 1.2050 0.1423
65831 GOODS-N 0.9102 3DHST 189.191797 62.232340 1.1010 0.2390 1.1415 0.1399
65833 GOODS-N 0.8954 3DHST 189.225379 62.231777 1.1601 0.1214 1.4340 0.0643
66045 GOODS-N 1.0580 3DHST 189.164073 62.231275 0.6942 0.4700 0.8734 0.2983
66218 GOODS-N 1.2081 3DHST 189.162046 62.231821 1.5444 0.6583 1.3750 0.3277
66240 GOODS-N 0.9706 3DHST 189.151297 62.231220 33.3499 97.3262 5.7377 3.0627
66753 GOODS-N 0.7213 3DHST 189.206239 62.235220 1.4892 0.1088 1.5113 0.0558
67081 GOODS-N 0.8041 3DHST 189.211987 62.232604 1.5144 2.0213 1.5528 0.8825
67514 GOODS-N 0.9099 3DHST 189.236087 62.233437 0.9829 0.6757 1.1033 0.3849
67582 GOODS-N 0.7520 3DHST 189.220252 62.234699 1.3979 0.2197 1.0335 0.0803
67793 GOODS-N 0.7056 3DHST 189.153122 62.234290 1.1733 0.5054 1.2871 0.2896
68284 GOODS-N 0.9781 3DHST 189.222886 62.234726 1.2352 0.7721 1.0026 0.3481
69106 GOODS-N 0.9234 3DHST 189.206535 62.237425 0.7955 0.2810 1.2782 0.2127
69328 GOODS-N 0.8326 3DHST 189.160527 62.237134 1.4605 0.3580 1.2369 0.1460
69530 GOODS-N 1.2145 3DHST 189.146904 62.237877 1.4805 0.2866 2.7770 0.2563
69615 GOODS-N 1.1766 3DHST 189.241738 62.238284 1.1327 0.4768 1.1643 0.2754
69759 GOODS-N 0.8318 3DHST 189.218869 62.237457 1.9042 1.7864 1.4835 0.5220
69764 GOODS-N 0.7500 3DHST 189.193349 62.238438 2.8801 0.4072 2.9750 0.1798
