# Catalog for all galaxies that matched between CANDELS and PEARS in GOODS-S.
# If a galaxy did not match with CANDELS then a matching in 3DHST was attempted.
# the 'zphot_source' column indicates the source of the photometric redshift.
# pearsid field redshift zphot_source ra dec dn4000 dn4000_err d4000 d4000_err
24367 GOODS-S 0.7510 CANDELS 53.138196 -27.898160 1.6910 0.7062 1.1412 0.4525
24396 GOODS-S 0.9860 CANDELS 53.181923 -27.897801 1.3234 0.6631 1.2916 0.3691
24480 GOODS-S 0.9900 CANDELS 53.156308 -27.897404 1.0445 0.1386 1.2226 0.0888
24521 GOODS-S 0.6680 CANDELS 53.175351 -27.896841 0.9876 0.1785 1.0470 0.0938
24588 GOODS-S 0.7270 CANDELS 53.153918 -27.896791 0.7878 0.5506 0.9402 0.2883
24599 GOODS-S 0.6820 CANDELS 53.149328 -27.897808 0.8431 0.6214 0.6605 0.2276
24609 GOODS-S 1.0700 CANDELS 53.185755 -27.897268 0.8917 0.3686 1.1321 0.2766
24671 GOODS-S 0.6760 CANDELS 53.142654 -27.897379 0.6779 0.5689 1.0442 0.3721
24707 GOODS-S 0.9560 CANDELS 53.181230 -27.894515 1.1955 0.2372 1.6547 0.1727
24717 GOODS-S 0.6930 CANDELS 53.143907 -27.897703 1.1964 1.3643 1.1351 0.7675
24770 GOODS-S 0.9030 CANDELS 53.139390 -27.897459 0.7943 0.4745 1.2580 0.3403
24842 GOODS-S 0.9290 CANDELS 53.198888 -27.895487 1.2631 0.8087 1.2393 0.4061
25184 GOODS-S 0.6920 CANDELS 53.142600 -27.895068 1.5039 0.3309 1.4680 0.1848
25205 GOODS-S 0.9220 CANDELS 53.170033 -27.895421 1.1082 0.0748 1.1621 0.0410
25223 GOODS-S 0.9230 CANDELS 53.125672 -27.896291 0.6104 0.4833 0.8671 0.2705
25253 GOODS-S 0.6300 CANDELS 53.152134 -27.896267 0.9606 0.8804 1.7645 0.9854
25316 GOODS-S 0.8710 CANDELS 53.139463 -27.895650 1.2368 0.5331 1.2736 0.3289
25390 GOODS-S 1.0470 CANDELS 53.130708 -27.888658 1.2157 0.1443 1.7154 0.0947
25462 GOODS-S 1.0310 CANDELS 53.182455 -27.895719 0.8237 0.8328 0.9972 0.5262
25474 GOODS-S 0.8450 CANDELS 53.165212 -27.895714 1.3739 0.3572 1.2771 0.1614
25687 GOODS-S 0.9340 CANDELS 53.185707 -27.895560 0.4815 0.4499 0.9823 0.3071
25909 GOODS-S 1.1620 CANDELS 53.205287 -27.893722 0.9499 0.5169 1.3036 0.3558
26107 GOODS-S 0.8100 CANDELS 53.139725 -27.894664 0.7840 0.5644 0.6826 0.3200
26158 GOODS-S 0.6650 CANDELS 53.178564 -27.890211 1.1441 0.0659 1.4637 0.0433
26160 GOODS-S 0.6600 CANDELS 53.179315 -27.892036 1.2482 0.3296 1.3979 0.1648
26345 GOODS-S 1.1160 CANDELS 53.127373 -27.893653 2.0023 1.8910 2.1754 0.9172
26450 GOODS-S 0.6120 CANDELS 53.183476 -27.893893 0.9272 0.1986 1.1781 0.1356
26475 GOODS-S 0.8740 CANDELS 53.131815 -27.893586 0.8852 0.3425 1.3070 0.2182
26614 GOODS-S 0.8690 CANDELS 53.196184 -27.893753 0.4466 0.8245 0.5149 0.5105
26728 GOODS-S 1.0760 CANDELS 53.156644 -27.893386 2.5993 3.5264 1.8236 0.8469
26891 GOODS-S 1.0920 CANDELS 53.144178 -27.890151 1.2575 0.1051 1.0374 0.0461
26909 GOODS-S 0.7750 CANDELS 53.139012 -27.892632 1.0616 0.1130 1.1852 0.0581
26973 GOODS-S 0.8780 CANDELS 53.204633 -27.893232 1.4166 1.9039 2.0907 1.5566
27183 GOODS-S 0.6890 CANDELS 53.161105 -27.892840 1.3605 2.3655 1.8480 1.5399
27222 GOODS-S 0.6010 CANDELS 53.200659 -27.891841 1.6060 1.1188 1.8689 0.6228
27304 GOODS-S 0.6940 CANDELS 53.166069 -27.891976 1.2422 0.2996 1.5224 0.1967
27562 GOODS-S 0.9030 CANDELS 53.146168 -27.891951 0.8365 0.1707 1.2072 0.1240
27652 GOODS-S 0.7300 CANDELS 53.174002 -27.891508 1.1960 0.3056 1.1173 0.1416
27831 GOODS-S 0.9340 CANDELS 53.198910 -27.891354 0.6540 0.5536 1.4115 0.5138
27862 GOODS-S 1.1120 CANDELS 53.144912 -27.890934 1.5572 1.0879 0.9773 0.4450
27892 GOODS-S 0.8260 CANDELS 53.201581 -27.890548 0.7209 0.1065 0.9030 0.0601
27974 GOODS-S 0.6380 CANDELS 53.146612 -27.889677 1.3515 0.2177 1.7030 0.1285
27994 GOODS-S 0.9460 CANDELS 53.133533 -27.890769 1.3145 0.2932 1.5346 0.1701
28280 GOODS-S 0.8410 CANDELS 53.165015 -27.890498 1.2528 0.9277 1.4835 0.5449
28310 GOODS-S 0.7260 CANDELS 53.164997 -27.890183 0.9603 0.2097 1.1410 0.1191
28326 GOODS-S 0.8540 CANDELS 53.202214 -27.890513 1.2239 0.7262 0.9372 0.2941
28588 GOODS-S 0.6250 CANDELS 53.176896 -27.889314 1.3005 0.3541 1.5642 0.2070
29091 GOODS-S 0.9670 CANDELS 53.140820 -27.888530 1.8553 1.1070 1.5468 0.4545
29095 GOODS-S 0.6040 CANDELS 53.130470 -27.887532 1.0411 0.1479 1.1420 0.0776
29252 GOODS-S 0.9960 CANDELS 53.174922 -27.888526 0.7494 0.4134 0.8275 0.2108
29322 GOODS-S 0.9640 CANDELS 53.135877 -27.887968 1.1162 0.1489 1.2540 0.0815
29515 GOODS-S 0.6220 CANDELS 53.182039 -27.887975 1.0822 0.3445 1.2497 0.1779
