# Galaxies with zgrism less than 0.5
# ID      Field      zspec    zphot    zg     zspz    NetSig    D4000   res_zphot    res_zgrism    res_zspz    iABmag
126769    GOODS-S    0.847    0.96    0.30    0.83    233.94    1.18    +0.061       -0.296       -0.009      23.00
135087    GOODS-S    0.682    0.30    0.46    0.99    714.63    1.39    -0.227       -0.132       +0.183      21.07
103864    GOODS-S    0.783    0.74    0.31    0.74    127.58    1.25    -0.024       -0.265       -0.024      22.58
132474    GOODS-S    0.683    0.64    0.38    0.66    174.31    1.19    -0.026       -0.180       -0.014      22.73
102640    GOODS-S    0.947    0.42    0.48    0.30    128.71    1.21    -0.271       -0.240       -0.332      23.29
106067    GOODS-S    0.738    0.78    0.49    0.78    882.60    1.36    +0.024       -0.143       +0.024      20.59
118459    GOODS-S    0.671    0.68    0.30    0.66    104.73    1.13    +0.005       -0.222       -0.007      23.35
120825    GOODS-S    0.733    0.69    0.30    0.67    272.75    1.22    -0.025       -0.250       -0.036      22.03
106859    GOODS-S    0.738    0.88    0.32    0.86    305.43    1.29    +0.082       -0.241       +0.070      22.28
115462    GOODS-S    0.615    0.61    0.37    0.61    994.16    1.32    -0.003       -0.152       -0.003      20.79
101176    GOODS-S    1.040    0.99    0.34    0.95    84.58     1.02    -0.024       -0.343       -0.044      24.20
108336    GOODS-S    1.220    1.17    0.38    1.11    62.11     1.30    -0.023       -0.378       -0.050      24.85
99014     GOODS-S    0.664    0.59    0.47    0.68    641.43    1.29    -0.044       -0.117       +0.010      21.37
123843    GOODS-S    0.613    0.36    0.32    0.30    322.49    1.18    -0.157       -0.182       -0.194      22.41
99490     GOODS-S    0.667    0.59    0.30    0.69    62.97     1.33    -0.046       -0.220       +0.014      24.43
103422    GOODS-S    0.832    1.01    0.49    0.99    283.60    1.07    +0.097       -0.187       +0.086      23.00
87259     GOODS-S    0.738    0.62    0.30    0.30    51.22     1.72    -0.068       -0.252       -0.252      22.82
109900    GOODS-S    0.739    0.85    0.41    0.73    370.58    1.13    +0.064       -0.189       -0.005      22.40
113361    GOODS-S    0.668    0.74    0.46    0.74    235.84    1.34    +0.043       -0.125       +0.043      22.46
113555    GOODS-S    0.607    0.68    0.30    0.71    237.33    1.38    +0.045       -0.191       +0.064      22.59
90791     GOODS-S    0.670    0.74    0.49    0.75    545.22    1.37    +0.042       -0.108       +0.048      20.78
100543    GOODS-S    0.683    0.72    0.39    0.66    171.69    1.17    +0.022       -0.174       -0.014      23.33
111151    GOODS-S    0.621    0.58    0.32    0.58    200.49    1.03    -0.025       -0.186       -0.025      22.88
102153    GOODS-S    0.736    0.72    0.40    0.74    278.79    1.17    -0.009       -0.194       +0.002      22.47
110870    GOODS-S    0.670    0.71    0.35    0.65    1001.01    1.21    +0.024       -0.192       -0.012      20.05
97568     GOODS-S    0.955    1.35    0.35    1.33    371.51    1.26    +0.202       -0.309       +0.192      21.93
96481     GOODS-S    0.647    0.62    0.30    0.61    441.75    1.25    -0.016       -0.211       -0.022      21.70
93759     GOODS-S    1.010    0.94    0.37    1.02    90.93     1.13    -0.035       -0.318       +0.005      24.09
84625     GOODS-S    0.618    0.57    0.30    0.58    479.65    1.28    -0.030       -0.197       -0.023      21.68
92860     GOODS-S    0.680    0.58    0.39    0.64    149.48    1.15    -0.060       -0.173       -0.024      23.76
66708     GOODS-S    0.669    0.87    0.34    0.83    244.11    1.26    +0.120       -0.197       +0.096      22.88
35765     GOODS-S    0.761    0.92    0.49    0.93    288.77    1.39    +0.090       -0.154       +0.096      22.25
70878     GOODS-S    0.736    0.92    0.42    0.82    149.93    1.35    +0.106       -0.182       +0.048      23.66
34821     GOODS-S    1.096    1.04    0.38    1.04    249.11    1.12    -0.027       -0.342       -0.027      22.62
30763     GOODS-S    0.685    0.70    0.39    0.70    176.29    1.18    +0.009       -0.175       +0.009      22.89
79581     GOODS-S    1.030    1.05    0.39    1.06    389.88    1.34    +0.010       -0.315       +0.015      21.98
91472     GOODS-S    1.210    1.23    0.35    1.23    161.53    1.42    +0.009       -0.389       +0.009      23.38
39116     GOODS-S    0.648    0.65    0.30    0.65    152.68    1.29    +0.001       -0.211       +0.001      22.89
70264     GOODS-S    0.963    0.94    0.36    0.93    175.30    1.16    -0.012       -0.307       -0.017      23.38
28593     GOODS-S    0.660    1.41    0.34    1.49    24.50     1.59    +0.452       -0.193       +0.500      25.75
68525     GOODS-S    0.683    0.44    0.34    0.44    979.91    1.17    -0.144       -0.204       -0.144      20.57
13986     GOODS-S    0.620    0.53    0.47    0.55    128.63    1.53    -0.056       -0.093       -0.043      23.52
31861     GOODS-S    0.676    0.57    0.31    0.59    210.00    1.21    -0.063       -0.218       -0.051      22.47
76592     GOODS-S    0.668    0.59    0.30    0.64    132.67    1.20    -0.047       -0.220       -0.017      23.50
68675     GOODS-S    0.666    0.66    0.42    0.64    510.38    1.16    -0.004       -0.148       -0.016      22.01
35878     GOODS-S    0.650    0.64    0.30    0.62    383.65    1.16    -0.006       -0.212       -0.018      22.21
21612     GOODS-S    0.737    0.68    0.30    0.66    203.85    1.19    -0.033       -0.252       -0.044      22.75
72905     GOODS-S    0.666    0.65    0.47    0.65    680.72    1.38    -0.010       -0.118       -0.010      21.02
78077     GOODS-S    0.737    0.92    0.46    0.74    782.83    1.16    +0.105       -0.159       +0.002      21.68
17704     GOODS-S    0.732    0.62    0.48    0.59    151.80    1.44    -0.065       -0.145       -0.082      23.28
38417     GOODS-S    0.782    0.90    0.30    0.74    103.04    1.19    +0.066       -0.270       -0.024      23.90
62528     GOODS-S    0.680    0.79    0.48    0.74    501.83    1.50    +0.065       -0.119       +0.036      21.81
83883     GOODS-S    0.743    1.19    0.33    1.29    98.72     1.11    +0.256       -0.237       +0.314      24.13
62122     GOODS-S    0.627    0.68    0.34    0.74    81.70     1.26    +0.032       -0.177       +0.069      24.28
18260     GOODS-S    0.664    0.69    0.49    0.69    1314.17    1.37    +0.016       -0.105       +0.016      19.96
71200     GOODS-S    0.682    0.66    0.33    0.61    80.85     1.29    -0.013       -0.209       -0.043      23.79
47101     GOODS-S    0.783    0.75    0.33    0.76    303.79    1.23    -0.019       -0.254       -0.013      22.07
58222     GOODS-S    0.713    0.73    0.44    0.71    146.05    1.33    +0.010       -0.159       -0.002      23.55
59747     GOODS-S    0.736    0.69    0.46    0.69    699.21    1.20    -0.026       -0.159       -0.026      21.36
56922     GOODS-S    0.850    0.85    0.32    0.85    279.21    1.27    -0.000       -0.287       -0.000      22.00
