# Tex formatted table 3 for SPZ paper
Last login: Sun Jun 30 16:35:12 on ttys001
Bhavins-MBP:grismz_pipeline bhavinjoshi$ python make_paper_table.py  
ID       RA    DEC       Field      zspec    zphot    zg     zspz    NetSig    D4000    D4000_err    iABmag
57792    & GOODS-N   & 189.2310375   & 62.219798   & 0.955   & 0.94$\substack{+0.00 \\ -0.00}$   & 0.94$\substack{+0.00 \\ -0.00}$   & 0.94$\substack{+0.00 \\ -0.00}$   & 296.22   & 1.69   & 0.07   & 22.41 \\
103139   & GOODS-N   & 189.2447370   & 62.299235   & 0.942   & 0.92$\substack{+0.00 \\ -0.00}$   & 0.92$\substack{+0.00 \\ -0.00}$   & 0.92$\substack{+0.00 \\ -0.00}$   & 222.05   & 1.45   & 0.07   & 22.87 \\
105547   & GOODS-S   & 53.1375911   & $-$27.743506   & 0.605   & 0.66$\substack{+0.00 \\ -0.00}$   & 0.61$\substack{+0.00 \\ -0.00}$   & 0.62$\substack{+0.00 \\ -0.00}$   & 910.71   & 1.67   & 0.05   & 20.74 \\
71200    & GOODS-S   & 53.1996796   & $-$27.810448   & 0.682   & 0.71$\substack{+0.03 \\ -0.06}$   & 0.51$\substack{+0.00 \\ -0.00}$   & 0.61$\substack{+0.00 \\ -0.03}$   & 80.85    & 1.29   & 0.15   & 23.79 \\
87000    & GOODS-N   & 189.1375951   & 62.271215   & 0.853   & 0.83$\substack{+0.00 \\ -0.00}$   & 0.90$\substack{+0.00 \\ -0.00}$   & 0.83$\substack{+0.00 \\ -0.01}$   & 284.67   & 1.43   & 0.06   & 22.25 \\
89993    & GOODS-N   & 189.1793699   & 62.275523   & 0.870   & 0.88$\substack{+0.01 \\ -0.01}$   & 0.41$\substack{+0.00 \\ -0.01}$   & 0.81$\substack{+0.00 \\ -0.00}$   & 248.84   & 1.25   & 0.05   & 22.37 \\
62107    & GOODS-N   & 189.1603789   & 62.227500   & 1.018   & 1.03$\substack{+0.00 \\ -0.00}$   & 0.95$\substack{+0.00 \\ -0.00}$   & 1.03$\substack{+0.00 \\ -0.00}$   & 177.73   & 1.66   & 0.09   & 22.97 \\
39842    & GOODS-N   & 189.1831814   & 62.185293   & 0.845   & 0.95$\substack{+0.00 \\ -0.01}$   & 0.51$\substack{+0.01 \\ -0.00}$   & 0.83$\substack{+0.00 \\ -0.00}$   & 200.38   & 1.10   & 0.05   & 22.93 \\
62122    & GOODS-S   & 53.1916475   & $-$27.828335   & 0.627   & 0.64$\substack{+0.08 \\ -0.06}$   & 0.45$\substack{+0.14 \\ -0.03}$   & 0.68$\substack{+0.06 \\ -0.04}$   & 81.70    & 1.26   & 0.17   & 24.28 \\
23142    & GOODS-S   & 53.1606733   & $-$27.897112   & 0.620   & 0.69$\substack{+0.00 \\ -0.00}$   & 0.65$\substack{+0.00 \\ -0.00}$   & 0.69$\substack{+0.00 \\ -0.00}$   & 1358.70   & 1.65   & 0.05   & 20.38 \\
