# Full paper table 3. Paste part of this into tex file to create shortened table.
# ID       RA    DEC       Field      zspec    zphot    zg     zspz    NetSig    D4000   iABmag
62388     GOODS-N    189.1976740    62.225022    0.964    0.91$\substack{+0.07 \\ -0.07}$    0.79$\substack{+0.31 \\ -0.32}$    0.86$\substack{+0.14 \\ -0.14}$    82.35     1.28    23.76
46914     GOODS-N    189.1977384    62.197467    0.912    0.92$\substack{+0.07 \\ -0.07}$    0.90$\substack{+0.39 \\ -0.39}$    0.90$\substack{+0.11 \\ -0.11}$    81.89     1.24    24.04
56190     GOODS-N    189.1981062    62.214635    0.681    0.57$\substack{+0.09 \\ -0.09}$    0.46$\substack{+0.49 \\ -0.49}$    0.70$\substack{+0.22 \\ -0.22}$    102.98    1.32    23.94
41630     GOODS-N    189.1987192    62.188955    1.223    1.20$\substack{+0.03 \\ -0.03}$    1.12$\substack{+0.46 \\ -0.46}$    1.22$\substack{+0.07 \\ -0.07}$    111.73    1.27    23.17
52896     GOODS-N    189.1991331    62.209159    0.961    0.94$\substack{+0.03 \\ -0.03}$    0.37$\substack{+0.52 \\ -0.52}$    0.92$\substack{+0.06 \\ -0.06}$    133.80    1.30    23.37
35156     GOODS-N    189.1994651    62.179304    1.223    1.21$\substack{+0.01 \\ -0.01}$    1.23$\substack{+0.40 \\ -0.40}$    1.21$\substack{+0.03 \\ -0.03}$    189.96    1.33    22.62
38445     GOODS-N    189.2005634    62.183952    0.649    0.72$\substack{+0.03 \\ -0.03}$    0.38$\substack{+0.48 \\ -0.48}$    0.70$\substack{+0.07 \\ -0.07}$    191.30    1.27    22.50
49261     GOODS-N    189.2010933    62.203861    0.961    0.95$\substack{+0.06 \\ -0.07}$    0.31$\substack{+0.70 \\ -0.70}$    0.95$\substack{+0.10 \\ -0.10}$    170.27    1.33    22.55
76098     GOODS-N    189.2013683    62.252073    0.938    0.86$\substack{+0.01 \\ -0.01}$    0.94$\substack{+0.04 \\ -0.04}$    0.92$\substack{+0.02 \\ -0.02}$    429.93    1.84    22.10
83503     GOODS-N    189.2025506    62.264620    0.852    0.84$\substack{+0.01 \\ -0.01}$    0.85$\substack{+0.05 \\ -0.05}$    0.84$\substack{+0.02 \\ -0.02}$    534.24    1.61    21.62
44078     GOODS-N    189.2026831    62.194841    1.013    0.95$\substack{+0.01 \\ -0.01}$    1.01$\substack{+0.04 \\ -0.04}$    1.01$\substack{+0.02 \\ -0.02}$    453.54    1.72    22.09
51003     GOODS-N    189.2044409    62.205905    0.954    0.94$\substack{+0.02 \\ -0.02}$    0.32$\substack{+0.32 \\ -0.32}$    0.90$\substack{+0.06 \\ -0.06}$    242.66    1.21    22.46
45496     GOODS-N    189.2052291    62.196807    0.960    0.96$\substack{+0.02 \\ -0.02}$    1.02$\substack{+0.33 \\ -0.33}$    0.95$\substack{+0.04 \\ -0.04}$    179.82    1.44    22.96
66753     GOODS-N    189.2062393    62.235220    0.752    0.83$\substack{+0.02 \\ -0.02}$    0.74$\substack{+0.32 \\ -0.32}$    0.83$\substack{+0.02 \\ -0.02}$    395.31    1.31    21.87
39487     GOODS-N    189.2072622    62.185225    1.019    0.96$\substack{+0.08 \\ -0.08}$    0.38$\substack{+0.60 \\ -0.60}$    0.97$\substack{+0.09 \\ -0.09}$    134.13    1.17    23.10
82267     GOODS-N    189.2077989    62.261628    0.942    0.94$\substack{+0.02 \\ -0.02}$    0.95$\substack{+0.35 \\ -0.36}$    0.94$\substack{+0.04 \\ -0.04}$    175.92    1.46    22.83
37225     GOODS-N    189.2081580    62.182990    0.683    0.69$\substack{+0.04 \\ -0.04}$    0.55$\substack{+0.21 \\ -0.21}$    0.70$\substack{+0.08 \\ -0.08}$    241.33    1.25    22.67
26345     GOODS-S    53.1273735    -27.893653    1.126    1.06$\substack{+0.11 \\ -0.11}$    1.08$\substack{+0.39 \\ -0.39}$    1.08$\substack{+0.25 \\ -0.25}$    20.87     1.74    25.13
15005     GOODS-S    53.1282508    -27.915264    0.687    0.69$\substack{+0.02 \\ -0.02}$    1.49$\substack{+1.02 \\ -1.02}$    0.69$\substack{+0.04 \\ -0.04}$    197.59    1.18    21.70
89212     GOODS-S    53.1285126    -27.772701    1.018    0.97$\substack{+0.02 \\ -0.02}$    1.00$\substack{+0.08 \\ -0.09}$    0.96$\substack{+0.03 \\ -0.03}$    454.38    1.55    22.26
85256     GOODS-S    53.1288245    -27.780420    1.173    1.23$\substack{+0.02 \\ -0.02}$    1.11$\substack{+0.31 \\ -0.31}$    1.21$\substack{+0.06 \\ -0.06}$    90.82     1.44    23.95
117865    GOODS-S    53.1300388    -27.719551    1.022    1.01$\substack{+0.06 \\ -0.06}$    0.99$\substack{+0.38 \\ -0.39}$    0.99$\substack{+0.18 \\ -0.18}$    81.77     1.35    24.73
72524     GOODS-S    53.1303304    -27.805615    1.173    1.06$\substack{+0.03 \\ -0.03}$    1.10$\substack{+0.27 \\ -0.27}$    1.07$\substack{+0.06 \\ -0.06}$    111.31    1.38    23.73
17495     GOODS-S    53.1303655    -27.913615    0.661    0.85$\substack{+0.04 \\ -0.04}$    1.42$\substack{+0.75 \\ -0.75}$    0.87$\substack{+0.11 \\ -0.11}$    74.49     1.11    24.06
16596     GOODS-S    53.1303662    -27.915512    0.656    0.64$\substack{+0.05 \\ -0.05}$    0.38$\substack{+0.59 \\ -0.59}$    0.66$\substack{+0.10 \\ -0.10}$    139.68    1.12    23.45
115775    GOODS-S    53.1304757    -27.723096    1.097    1.02$\substack{+0.04 \\ -0.04}$    1.06$\substack{+0.41 \\ -0.41}$    1.06$\substack{+0.10 \\ -0.10}$    97.59     1.27    23.71
78177     GOODS-S    53.1306425    -27.790259    0.665    0.70$\substack{+0.01 \\ -0.01}$    0.46$\substack{+0.14 \\ -0.14}$    0.70$\substack{+0.03 \\ -0.03}$    782.25    1.25    21.23
