| lambda_Angs|Flambda/F(5500A)|
|       float|           float|
  3.34183e+06   0.00120172
  3.36820e+06   0.00115839
  3.39479e+06   0.00111786
  3.42110e+06   0.00107885
  3.44810e+06   0.00104001
  3.47483e+06   0.00100424
  3.50225e+06  0.000968536
  3.52940e+06  0.000934250
  3.55726e+06  0.000900843
  3.58483e+06  0.000868684
  3.61312e+06  0.000836811
  3.64164e+06  0.000806863
  3.66987e+06  0.000778033
  3.69883e+06  0.000749424
  3.72750e+06  0.000722519
  3.75692e+06  0.000695671
  3.78604e+06  0.000670131
  3.81592e+06  0.000645626
  3.84550e+06  0.000622037
  3.87585e+06  0.000598832
  3.90644e+06  0.000576914
  3.93672e+06  0.000555817
  3.96779e+06  0.000534985
  3.99855e+06  0.000515348
  4.03011e+06  0.000495754
  4.06135e+06  0.000477266
  4.09340e+06  0.000459422
  4.12513e+06  0.000442247
  4.15769e+06  0.000425622
  4.19050e+06  0.000410006
  4.22298e+06  0.000394976
  4.25631e+06  0.000380065
  4.28930e+06  0.000365806
  4.32316e+06  0.000351578
  4.35667e+06  0.000338271
  4.39105e+06  0.000325343
  4.42571e+06  0.000312676
  4.46002e+06  0.000300865
  4.49522e+06  0.000289355
  4.53006e+06  0.000278278
  4.56581e+06  0.000267594
  4.60120e+06  0.000257529
  4.63752e+06  0.000247485
  4.67347e+06  0.000238051
  4.71035e+06  0.000228753
  4.74753e+06  0.000219644
  4.78433e+06  0.000211342
  4.82209e+06  0.000203236
  4.85946e+06  0.000195435
  4.89782e+06  0.000187864
  4.93578e+06  0.000180641
  4.97474e+06  0.000173435
  5.01330e+06  0.000166843
  5.05287e+06  0.000160418
  5.09275e+06  0.000154269
  5.13222e+06  0.000148351
  5.17273e+06  0.000142446
  5.21282e+06  0.000136929
  5.25397e+06  0.000131590
  5.29469e+06  0.000126451
  5.33648e+06  0.000121325
  5.37784e+06  0.000116588
  5.42029e+06  0.000111964
  5.46307e+06  0.000107433
  5.50541e+06  0.000103074
  5.54887e+06  9.90135e-05
  5.59188e+06  9.51655e-05
  5.63601e+06  9.13265e-05
  5.67970e+06  8.76323e-05
  5.72452e+06  8.41208e-05
  5.76890e+06  8.08179e-05
  5.81443e+06  7.75229e-05
  5.86032e+06  7.42953e-05
  5.90574e+06  7.13610e-05
  5.95236e+06  6.85679e-05
  5.99849e+06  6.58800e-05
  6.04584e+06  6.31984e-05
  6.09270e+06  6.06386e-05
  6.14079e+06  5.82289e-05
  6.18838e+06  5.59099e-05
  6.23723e+06  5.35966e-05
  6.28646e+06  5.13307e-05
  6.33518e+06  4.93116e-05
  6.38518e+06  4.73646e-05
