# z  dl_mpc  dl_cm
2.475  2.063952e+04  6.369355e+28
2.480  2.068994e+04  6.384916e+28
2.485  2.074038e+04  6.400482e+28
2.490  2.079084e+04  6.416053e+28
2.495  2.084131e+04  6.431630e+28
2.500  2.089181e+04  6.447212e+28
2.505  2.094232e+04  6.462799e+28
2.510  2.099284e+04  6.478391e+28
2.515  2.104338e+04  6.493988e+28
2.520  2.109394e+04  6.509591e+28
2.525  2.114452e+04  6.525199e+28
2.530  2.119511e+04  6.540811e+28
2.535  2.124572e+04  6.556429e+28
2.540  2.129635e+04  6.572052e+28
2.545  2.134699e+04  6.587681e+28
2.550  2.139765e+04  6.603314e+28
2.555  2.144832e+04  6.618952e+28
2.560  2.149901e+04  6.634596e+28
2.565  2.154972e+04  6.650244e+28
2.570  2.160045e+04  6.665898e+28
2.575  2.165119e+04  6.681556e+28
2.580  2.170194e+04  6.697220e+28
2.585  2.175272e+04  6.712889e+28
2.590  2.180351e+04  6.728562e+28
2.595  2.185431e+04  6.744241e+28
2.600  2.190513e+04  6.759924e+28
2.605  2.195597e+04  6.775613e+28
2.610  2.200682e+04  6.791306e+28
2.615  2.205769e+04  6.807004e+28
2.620  2.210858e+04  6.822708e+28
2.625  2.215948e+04  6.838416e+28
2.630  2.221040e+04  6.854129e+28
2.635  2.226133e+04  6.869847e+28
2.640  2.231228e+04  6.885569e+28
2.645  2.236324e+04  6.901297e+28
2.650  2.241422e+04  6.917030e+28
2.655  2.246522e+04  6.932767e+28
2.660  2.251623e+04  6.948509e+28
2.665  2.256726e+04  6.964256e+28
2.670  2.261830e+04  6.980008e+28
2.675  2.266936e+04  6.995764e+28
2.680  2.272043e+04  7.011526e+28
2.685  2.277152e+04  7.027292e+28
2.690  2.282263e+04  7.043063e+28
2.695  2.287375e+04  7.058838e+28
2.700  2.292488e+04  7.074618e+28
2.705  2.297603e+04  7.090403e+28
2.710  2.302720e+04  7.106193e+28
2.715  2.307838e+04  7.121988e+28
2.720  2.312957e+04  7.137787e+28
2.725  2.318079e+04  7.153591e+28
2.730  2.323201e+04  7.169399e+28
2.735  2.328325e+04  7.185212e+28
2.740  2.333451e+04  7.201030e+28
2.745  2.338578e+04  7.216852e+28
2.750  2.343707e+04  7.232679e+28
2.755  2.348837e+04  7.248511e+28
2.760  2.353969e+04  7.264347e+28
2.765  2.359102e+04  7.280188e+28
2.770  2.364236e+04  7.296033e+28
2.775  2.369372e+04  7.311883e+28
2.780  2.374510e+04  7.327738e+28
2.785  2.379649e+04  7.343597e+28
2.790  2.384789e+04  7.359460e+28
2.795  2.389931e+04  7.375328e+28
2.800  2.395075e+04  7.391201e+28
2.805  2.400220e+04  7.407078e+28
2.810  2.405366e+04  7.422960e+28
2.815  2.410514e+04  7.438846e+28
2.820  2.415663e+04  7.454736e+28
2.825  2.420814e+04  7.470631e+28
2.830  2.425966e+04  7.486531e+28
2.835  2.431119e+04  7.502435e+28
2.840  2.436274e+04  7.518343e+28
2.845  2.441431e+04  7.534256e+28
2.850  2.446589e+04  7.550173e+28
2.855  2.451748e+04  7.566095e+28
2.860  2.456909e+04  7.582021e+28
2.865  2.462071e+04  7.597951e+28
2.870  2.467235e+04  7.613886e+28
2.875  2.472399e+04  7.629825e+28
2.880  2.477566e+04  7.645768e+28
2.885  2.482734e+04  7.661716e+28
2.890  2.487903e+04  7.677668e+28
2.895  2.493073e+04  7.693625e+28
2.900  2.498245e+04  7.709585e+28
2.905  2.503419e+04  7.725551e+28
2.910  2.508594e+04  7.741520e+28
2.915  2.513770e+04  7.757494e+28
2.920  2.518947e+04  7.773471e+28
2.925  2.524126e+04  7.789454e+28
2.930  2.529307e+04  7.805440e+28
2.935  2.534488e+04  7.821431e+28
2.940  2.539671e+04  7.837426e+28
2.945  2.544856e+04  7.853425e+28
2.950  2.550042e+04  7.869428e+28
2.955  2.555229e+04  7.885436e+28
2.960  2.560417e+04  7.901448e+28
2.965  2.565607e+04  7.917464e+28
2.970  2.570798e+04  7.933484e+28
2.975  2.575991e+04  7.949508e+28
2.980  2.581185e+04  7.965537e+28
2.985  2.586380e+04  7.981570e+28
2.990  2.591577e+04  7.997607e+28
2.995  2.596775e+04  8.013648e+28
3.000  2.601974e+04  8.029693e+28
3.005  2.607175e+04  8.045742e+28
3.010  2.612377e+04  8.061795e+28
3.015  2.617580e+04  8.077853e+28
3.020  2.622785e+04  8.093914e+28
3.025  2.627991e+04  8.109980e+28
3.030  2.633198e+04  8.126050e+28
3.035  2.638407e+04  8.142123e+28
3.040  2.643617e+04  8.158201e+28
3.045  2.648828e+04  8.174283e+28
3.050  2.654041e+04  8.190369e+28
3.055  2.659254e+04  8.206459e+28
3.060  2.664470e+04  8.222553e+28
3.065  2.669686e+04  8.238651e+28
3.070  2.674904e+04  8.254753e+28
3.075  2.680123e+04  8.270859e+28
3.080  2.685343e+04  8.286969e+28
3.085  2.690565e+04  8.303083e+28
3.090  2.695788e+04  8.319201e+28
3.095  2.701012e+04  8.335323e+28
3.100  2.706238e+04  8.351449e+28
3.105  2.711464e+04  8.367579e+28
3.110  2.716692e+04  8.383713e+28
3.115  2.721922e+04  8.399851e+28
3.120  2.727152e+04  8.415992e+28
3.125  2.732384e+04  8.432138e+28
3.130  2.737617e+04  8.448288e+28
3.135  2.742852e+04  8.464441e+28
3.140  2.748088e+04  8.480598e+28
3.145  2.753325e+04  8.496760e+28
3.150  2.758563e+04  8.512925e+28
3.155  2.763802e+04  8.529094e+28
3.160  2.769043e+04  8.545266e+28
3.165  2.774285e+04  8.561443e+28
3.170  2.779528e+04  8.577624e+28
3.175  2.784773e+04  8.593808e+28
3.180  2.790018e+04  8.609996e+28
3.185  2.795265e+04  8.626188e+28
3.190  2.800513e+04  8.642384e+28
3.195  2.805763e+04  8.658584e+28
3.200  2.811014e+04  8.674788e+28
3.205  2.816265e+04  8.690995e+28
3.210  2.821518e+04  8.707206e+28
3.215  2.826773e+04  8.723421e+28
3.220  2.832028e+04  8.739639e+28
3.225  2.837285e+04  8.755862e+28
3.230  2.842543e+04  8.772088e+28
3.235  2.847802e+04  8.788318e+28
3.240  2.853063e+04  8.804551e+28
3.245  2.858324e+04  8.820789e+28
3.250  2.863587e+04  8.837030e+28
3.255  2.868851e+04  8.853274e+28
3.260  2.874116e+04  8.869523e+28
3.265  2.879383e+04  8.885775e+28
3.270  2.884650e+04  8.902031e+28
3.275  2.889919e+04  8.918291e+28
3.280  2.895189e+04  8.934554e+28
3.285  2.900460e+04  8.950821e+28
3.290  2.905733e+04  8.967091e+28
3.295  2.911006e+04  8.983366e+28
3.300  2.916281e+04  8.999644e+28
3.305  2.921557e+04  9.015925e+28
3.310  2.926834e+04  9.032210e+28
3.315  2.932113e+04  9.048499e+28
3.320  2.937392e+04  9.064792e+28
3.325  2.942673e+04  9.081088e+28
3.330  2.947954e+04  9.097387e+28
3.335  2.953237e+04  9.113691e+28
3.340  2.958522e+04  9.129998e+28
3.345  2.963807e+04  9.146308e+28
3.350  2.969093e+04  9.162622e+28
3.355  2.974381e+04  9.178940e+28
3.360  2.979670e+04  9.195261e+28
3.365  2.984960e+04  9.211586e+28
3.370  2.990251e+04  9.227914e+28
3.375  2.995543e+04  9.244246e+28
3.380  3.000837e+04  9.260582e+28
3.385  3.006131e+04  9.276920e+28
3.390  3.011427e+04  9.293263e+28
3.395  3.016724e+04  9.309609e+28
3.400  3.022022e+04  9.325959e+28
3.405  3.027321e+04  9.342312e+28
3.410  3.032621e+04  9.358668e+28
3.415  3.037922e+04  9.375028e+28
3.420  3.043225e+04  9.391392e+28
3.425  3.048528e+04  9.407759e+28
3.430  3.053833e+04  9.424129e+28
3.435  3.059139e+04  9.440503e+28
3.440  3.064446e+04  9.456881e+28
3.445  3.069754e+04  9.473261e+28
3.450  3.075063e+04  9.489646e+28
3.455  3.080374e+04  9.506034e+28
3.460  3.085685e+04  9.522425e+28
3.465  3.090998e+04  9.538819e+28
3.470  3.096312e+04  9.555217e+28
3.475  3.101626e+04  9.571619e+28
